CIMS.CAN.ON.Petroleum Refining.Methane Blend,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Chemical Products,,,service_request,,,CIMS.CAN.ON.Chemical Products,activity_data_region,tonne,4100194.651,4226642.811,4244381.28590583,4262119.76081167,3622801.79668992,3740155.06837949,3861309.75984004,3986389.01030804,4115519.94786428,4248833.81864431,4386466.12023441,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,competition,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Coal,JCIMS,,1.02504943978272,1.11911353386197,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,1.43884353681404,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.CAN.ON.Electricity,CER,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028726656,0.99192137073166,1.01992087393457,1.05029024706468,1.14988366440469,1.22563719168813,1.29981821446978,1.2998302908361,1.28801044993406,1.2810197414009,1.27710833827122,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Natural Gas,CER,,1.12917327936608,1.2025467881909,1.33150712374001,1.46563687919243,1.42734863041423,1.28565924491159,1.22675236911126,1.22494908539808,1.22792281128507,1.23554137917233,1.24347751839639,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Propane,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,multiplier_price,,,CIMS.Generic Fuels.Waste Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products,Sector,ON,Chemical Products,,,service_request,,,CIMS.CAN.ON.Chemical Products.Chemical Product,activity_data_generic,tonne,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Chemical Products.Chemical Product,Service,ON,Chemical Products,Chemical Product,,service_provide,,,,activity_data_generic,tonne,,,,,,,,,,,,
