,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.ON,Region,ON,Petroleum Refining,,,Service requested,,,CIMS.CAN.ON.Petroleum Refining,"Statistics Canada: 25-10-0014-01 (To refineries, Province)",m3 of RPP,32490379,28595166,27529323,26917439,27919182,27919182,27919182,27919182,27919182,27919182,27919182,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,,,,Service provided,,,,,m3 of RPP,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.ON.Biodiesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.ON.Electricity,CER,,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,TODO: Fix these multipliers once the electricity sector is calibrated to have a production cost.
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.ON.Ethanol,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Fuel Oil,CER,,0.994028727,0.994028727,1.038806922,1.03946999,1.144934473,1.243009578,1.31987248,1.299329113,1.28728631,1.280849006,1.27568991,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Gasoline,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.CAN.ON.Hydrogen,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Jet Fuel,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.LPG,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Natural Gas,CER,,1.129173279,1.129173279,1.410562474,1.510685685,1.566029371,1.270434426,1.212480418,1.224850313,1.227209566,1.235259498,1.250730874,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Petroleum Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Propane,JCIMS,,1.607576184,1,1.083570488,0.826630164,0.957764675,1.005339395,1.036764374,1.053169057,1.071426921,1.071426921,1.071426921,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Refinery Fuel Gas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Solid Biomass,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.ON.Petroleum Refining,Sector,ON,Petroleum Refining,,,Price multiplier,,,CIMS.Generic Fuels.Uranium,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
