,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.SK,Region,SK,Transportation Personal,,,Service requested,,,CIMS.CAN.SK.Transportation Personal,,k*pkm,"=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(M$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(N$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(O$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(P$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(Q$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(R$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(S$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(T$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(U$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(V$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))","=INDEX('N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_data,MATCH($A3&$F3&$G3&$J3,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_index,0),MATCH(W$2,'N:\CIMS\Sources\Sectors\18 - Transportation personal\CIMS_Trasportation Personal_activity and energy inputs.xlsx'!passenger_year,0))",
CIMS.CAN.SK.Transportation Personal,Sector,SK,,,,Service provided,,,,,pkm,,,,,,,,,,,,
CIMS.CAN.SK.Transportation Personal,Sector,SK,,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.CAN.SK.Biodiesel,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C6&$D6&$J6,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C7&$D7&$J7,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C8&$D8&$J8,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C9&$D9&$J9,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,"=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(M$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(N$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(O$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(P$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(Q$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(R$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(S$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(T$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(U$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(V$2,$M$2:$W$2,0)),1)","=IFERROR(INDEX('Macro inputs.xlsx'!FuelMult_JCIMS,MATCH($C10&$D10&$J10,'Macro inputs.xlsx'!FuelMult_JCIMS_Index,0),MATCH(W$2,$M$2:$W$2,0)),1)",
CIMS.CAN.SK.Transportation Personal,Sector,SK,Transportation Personal,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,CER,,"=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(M$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!K$29:K$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(N$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!L$29:L$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(O$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!M$29:M$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(P$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!N$29:N$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(Q$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!O$29:O$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(R$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!P$29:P$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(S$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!Q$29:Q$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(T$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!R$29:R$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(U$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!S$29:S$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(V$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!T$29:T$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)","=INDEX('Macro inputs.xlsx'!CER_prices,MATCH($C11&INDEX('Macro inputs.xlsx'!sector_CER,MATCH($D11,'Macro inputs.xlsx'!sector_CIMS,0))&$J11,'Macro inputs.xlsx'!CER_prices_index,0),MATCH(W$2,'Macro inputs.xlsx'!CER_year,0))/ROUND(INDEX('[Macro inputs.xlsx]Prices'!U$29:U$210,MATCH(""CAN""&""Transportation""&$J11,'[Macro inputs.xlsx]Prices'!$CJ$29:$CJ$210,0)),2)",
