,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.QC,Region,QC,Construction,,,Service requested,,,CIMS.CAN.QC.Construction,,tCO2e,1064000,1309000,1524000,1293000,1649000,1649000,1649000,1649000,1649000,1649000,1649000,
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Service provided,,,,,tCO2e,,,,,,,,,,,,
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Price multiplier,,,CIMS.CAN.QC.Biodiesel,JCIMS,,1.8,1.8,1.9141508982703,2.08337634533833,2.1831574043583,2.84232261187302,2.73088442144286,2.63241680682958,2.5300679249112,2.52955333995074,2.52865630556284,Review!
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Price multiplier,,,CIMS.Generic Fuels.Biogas,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Price multiplier,,,CIMS.Generic Fuels.Black Liquor,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Price multiplier,,,CIMS.Generic Fuels.Coal,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Price multiplier,,,CIMS.Generic Fuels.Coke,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,Review!
CIMS.CAN.QC.Construction,Sector,QC,Construction,,,Price multiplier,,,CIMS.Generic Fuels.Diesel,JCIMS,,0.5206138121793,0.63580249051724,0.86522676579303,0.92340220377578,1.09369138138417,1.19515920669733,1.28384460592477,1.35654747851981,1.41269961392618,1.42295345473989,1.44053838387329,Review!
